,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
213,100,99.17,86.94,86.52,0,94.09,86.56,59.16,93.45,100,55.91,76
214,100,100,68.06,98,72.26,99.70,96.88,73.40,85.12,100,96.11,79
215,100,88.48,92.85,91.48,85.57,81.79,100,89.42,89.97,100,100,95
216,100,93.25,94.54,88.52,90.13,97.38,93.75,70.98,87.97,99,100,91
217,100,48.49,0,5,4,85.66,48.33,11.50,0,100,0,
218,100,87.60,97.60,100,80.26,100,100,87.88,96,99,100,85
219,100,97.17,97.15,96.89,100,100,93.75,74.34,94,98,97.20,87
220,87.50,95.25,88.59,100,95.19,93.34,89.79,71.97,92,100,100,92
221,100,94.21,85.95,100,97.42,100,100,86.26,82.69,98,100,79
222,100,97.83,86.74,50.28,74.44,82.56,97.50,69.57,91.07,90,96.11,59
223,100,87.25,85.05,98.89,100,99.03,93.75,95.90,93,100,100,78
224,100,95.25,98.77,80.46,98.71,99.70,100,97.90,69.49,100,100,84
225,100,95.20,99.20,100,100,100,100,100,90,100,97.20,59
226,100,95.25,98.77,100,97.54,99.33,100,96.78,90.71,95,100,89
227,100,100,95.92,100,99.26,100,92.71,97.90,98,95,0,95
228,100,100,70.25,89.89,93.46,89.35,100,96.78,86.84,95,97.20,85
229,100,91.42,98,71.93,79.76,89.36,100,87.40,98,100,100,59
230,100,81.08,96.07,95.93,94.09,97.38,81.32,73.28,66.63,99,79,90
231,100,97.27,74.93,83.56,65,94.09,81.70,65.82,29.46,100,61.51,75
232,100,83.03,97.09,88.52,93.64,98.73,92.19,82.26,89.89,92.66,0,80
233,99.69,54.73,25.62,50.50,0,24.34,78.44,33.20,0,90,100,52
234,100,100,96.31,92.26,91.10,99.40,94.64,70.64,72.63,100,62.80,78
235,100,0,8,0,0,0,0,0,0,0,0,
236,100,91.80,93.46,100,98.71,96.41,86.25,91.10,72.71,98,60,87
237,100,95.25,100,100,94.09,100,100,91.10,84.60,100,84.11,86
238,100,100,98.31,100,100,100,90.62,96.64,100,100,100,97
239,100,97.75,88.04,100,100,88.10,96.88,85.58,88.41,96,97.20,93
240,100,92.81,95.15,100,95.33,100,100,97.90,100,100,0,89
241,100,89.67,99.04,100,100,97.98,100,99,100,96,100,92
242,100,100,100,90.96,88,93,96.88,26,83.71,100,100,94
243,100,100,89.39,98.89,98.87,100,100,99.14,92,100,100,97
244,100,90.61,91.15,98,96.04,99.03,93.75,98.88,92,100,97.20,94
245,100,100,100,91.33,100,100,100,92.44,96,100,100,90
246,0,70.57,94.36,100,92.67,97.31,96.88,97.90,85.76,100,97.20,87
247,100,99.25,98.50,100,100,99.33,100,85.44,100,100,99.67,96
248,100,100,85.65,100,98.71,87.29,100,0,89.03,100,60,86
249,100,89.51,100,100,81.49,90.20,100,0,84,98,100,77
250,100,100,89.08,94.67,88.06,92.04,81.22,54.46,93.42,100,100,78
251,100,99.70,92.84,100,97,99.70,91.88,54.05,85.30,100,97.20,79
252,100,99.47,98.50,100,100,99.85,100,99.70,100,100,100,97
253,100,95.25,88.85,67.99,100,89.90,100,81.22,67.89,98,96.11,81
254,0,0,0,0,0,0,0,0,0,0,0,
255,43.33,34.43,90.73,89.85,90,97.08,81.46,86.33,69.83,100,98.91,85
256,100,98,98.37,94.07,100,97.63,86.05,69.58,98,100,97.20,93
257,100,100,99.20,100,100,98.91,100,97.90,90,100,100,96
258,100,91.86,91.90,94.44,100,91.25,90.62,74.94,81.39,100,100,93
259,100,100,100,100,99.33,100,94.38,93.94,100,100,100,99
260,100,0,81.75,0.83,0,75.69,71,63.71,82.41,100,56.46,76
261,100,100,93.24,100,94.65,86.14,93.75,94.54,93.97,98,97.20,80
262,100,100,89.92,100,96,100,92.71,87.98,98,100,100,83
263,100,100,90,100,100,96.78,100,85.33,98,98,0,94
264,100,98.75,97.91,94.44,98.87,100,100,94.33,89.57,100,100,82
265,100,93.08,98.40,85.96,0,95.75,92.50,74.38,77.71,100,100,78
266,100,97.27,98.10,93.78,100,94.22,100,92.63,90,100,91.60,82
267,81.67,99.25,88.40,76,30.09,0,96.88,70.90,75.11,100,91.60,81
268,100,83.88,97.60,100,96.29,100,89.58,93.40,79.38,100,97.20,92
269,100,92.96,82.64,96.89,96.67,98.05,96.88,73.74,72.05,100,100,59
270,100,95.25,98.64,83.56,96.67,99.33,94.64,75.50,61.86,98,97.20,59
271,100,100,100,81.94,79.56,0,0,0,0,0,0,
272,100,100,98.25,97.04,92,96.50,100,71.56,77.79,100,100,91
273,100,72.22,95.91,96.11,100,100,96.88,97.90,88.97,100,100,82
274,100,100,96.62,100,100,100,84.15,88.01,83.97,100,100,90
275,91.67,95.25,95.86,90.88,65.47,89.43,56.38,89.40,64.99,100,60,84
276,100,100,100,100,100,100,100,92.39,91.97,100,97.20,90
277,100,87.22,72.24,80.24,56.96,4.04,0,0,0,0,0,
278,100,100,98.99,100,100,99.70,100,94.50,84.13,100,100,94
279,100,88.28,96.62,100,94.53,59.86,100,99.40,100,100,100,97
280,100,100,88.85,100,83.33,99.40,85,43.97,61.86,100,63.27,85
281,71.67,92.13,94.37,89.85,100,86.99,91.22,87.46,86,100,98.91,88
282,100,82.08,99.60,100,93.33,91.68,89.17,82.47,86.85,100,72.51,84
283,100,100,98.65,100,100,100,100,99.70,90.13,100,98.91,92
284,100,0,0,0,0,86.89,100,98.20,98,100,100,74
285,100,97.50,100,100,100,99.33,100,95.70,91.71,100,100,100
286,91.67,62.30,93.87,70.78,90.86,93.34,97.50,93.70,78.68,100,97.20,94
287,100,93.86,97.91,98.89,100,89.23,100,91.40,86,100,100,88
288,100,93.25,90,96,100,100,100,95.44,90.84,100,100,91
289,100,95.50,99.60,96,100,91.25,85.62,65.91,94,100,97.20,86
290,100,69.14,67.71,50.61,87.74,77.77,60.52,52.63,87.97,90,0,68
291,100,82.42,83.65,93.56,81.37,81.01,73.54,75.88,44.55,100,56.80,84
292,100,86.31,91.47,74.89,84.97,90.58,97.92,73.28,87.79,100,100,81
293,100,94.67,96.40,100,100,98.91,88.12,83.48,92,100,100,88
294,100,100,100,100,100,100,100,89.40,92,100,100,99
295,100,100,93.46,0,0,92.15,90.18,77.22,74.42,100,3,59
296,100,84.08,95.22,96.89,100,94.22,100,96.78,89.38,100,98.91,88
297,100,100,100,100,100,93.19,100,93.64,98,100,100,87
298,81.67,21.41,0,0,0,0,0,0,0,0,0,
299,100,98.67,79.02,75.11,69.06,86.98,93.75,86.26,61.86,80,97.20,81
300,100,100,94.29,53.48,93.42,99.10,78.23,97.90,85.93,100,96.11,87
301,100,100,100,100,99.26,100,100,100,87.97,100,100,93
302,100,88.74,98,86.52,83.65,84.37,100,47.08,99.97,99,72.40,59
303,96.27,0,7.60,64.17,0,100,0,0,0,0,0,
304,100,93.97,89.53,100,98.77,99.70,100,97.90,84,99,100,84
305,100,100,100,100,100,100,87.71,95.70,100,100,100,94
306,100,100,90.95,78.04,97.41,96.47,98.44,91.32,79.36,90,0,79
307,100,84.45,91.63,91.48,75.55,32.54,93.75,86.40,87.97,97,100,93
308,100,90.28,98.25,100,97.41,91.68,100,80.54,94,100,94.40,94
309,100,100,97.55,98.89,100,100,93.30,89.86,78,100,98.91,87
310,100,93.25,98.50,100,100,82.84,93.75,91.24,93.97,100,97.20,88
311,100,95.08,98.77,89.48,90.04,99.03,100,92.58,86,100,100,97
312,100,98.96,99.20,98.89,83.73,94.39,96.88,85.70,83.89,96,0,94
313,100,89.91,100,90.96,97.42,90.58,100,91.50,86.55,100,100,98
314,100,95.25,95.09,93.78,100,89.98,100,97.90,97.97,100,100,94
315,100,100,73.87,86.67,100,90.35,62.28,17.50,83.97,100,97.20,85
316,100,82.42,96.31,76,94,86.57,100,0,0,99,54,59
317,91.67,95.91,76.15,98.89,100,100,89.38,30,84.70,94,97.20,96
318,100,97.50,98.77,72.67,98.67,89.23,100,84.15,100,100,100,83
319,100,100,100,100,100,99.70,93.75,87.66,100,100,97.20,97
320,100,88.87,94.92,95.78,17.54,100,0,0,0,0,0,
321,100,100,100,98.89,96.67,99.40,94.79,84.86,0,100,58.91,59
322,92.50,28.04,75.83,35,77.19,89.90,80.83,10,0,99,38.08,57
323,100,100,97.51,88.70,90.07,90.20,87.50,43.76,84.67,98,100,83
324,23.33,3.65,83.44,13.33,98.77,98.23,93.75,91.88,51.32,100,100,59
325,100,75.85,85.42,50.28,85.13,1.35,85.62,30,0,0,36,47
326,100,99.25,95.60,92.67,71.98,100,96.88,89.42,92,99,97.20,94
327,100,91.82,99.60,100,100,100,100,99.70,100,100,100,90
328,100,95.25,69.65,94.44,92.29,0,83.96,0,80.12,99,100,76
329,100,95.25,99.60,100,100,96.78,96.88,88.08,83.97,100,0,77
330,100,95.25,94.87,98.56,100,99.33,100,77.12,59.43,100,96.93,87
331,100,98.47,90.42,100,93.33,99.70,94.38,90.76,87.12,100,96.11,97
332,100,100,91.49,91.61,95.38,97.75,87.08,86.58,89.97,97,74.80,59
333,100,90,94.76,100,100,94.60,100,96.90,100,100,100,91
334,100,100,96.81,100,96.67,99.33,100,99.40,98,100,98.91,97
335,100,82.84,77.14,92.67,78.99,64.38,79.38,62.04,89.42,98,58.91,73
336,100,95.56,97.60,100,100,95.06,98.44,93.90,83.90,97,83.20,81
337,100,63.18,88.60,66.14,0,99.40,87.50,42.47,79.95,100,72,76
338,83.33,100,86.44,35,8,99.70,90.73,95.89,74.77,93,3.34,72
339,100,97.42,94.95,58.61,69.13,29.38,62.50,68.86,31.51,100,48,53
340,100,93.70,93.25,98,100,99.10,100,81.83,65.85,98,100,78
341,73.33,90.91,90.38,100,100,100,96.88,82.02,96,100,100,78
342,100,97.27,97.55,100,100,100,93.75,33.61,100,100,100,87
343,100,95,98.37,98,57.47,97.08,96.88,93.34,80.99,100,97.20,89
344,100,92.50,100,100,100,94.46,95.83,97.90,90,100,0,83
